depth,combo,cells,extinct
5,coin|etype|cb|hayden_btc|vq,2922,False
5,coin|etype|cb|hayden_btc|rq,3060,False
5,coin|etype|cb|hayden_btc|kq,3262,False
5,coin|etype|cb|hayden_btc|uq,3334,False
5,coin|etype|cb|hayden_btc|yd_arch,2661,False
5,coin|etype|cb|hayden_btc|ob55,2644,False
5,coin|etype|cb|hayden_btc|dtype,2106,False
5,coin|etype|cb|hayden_btc|lean,2492,False
5,coin|etype|cb|hayden_btc|scen_state,2534,False
5,coin|etype|cb|hayden_btc|scen_failed,2400,False
5,coin|etype|cb|btc_pi|origin,2419,False
5,coin|etype|cb|btc_pi|tn,1522,False
5,coin|etype|cb|btc_pi|dq,1616,False
5,coin|etype|cb|btc_pi|sq,1788,False
5,coin|etype|cb|btc_pi|vq,1750,False
5,coin|etype|cb|btc_pi|rq,1783,False
5,coin|etype|cb|btc_pi|kq,2000,False
5,coin|etype|cb|btc_pi|uq,2039,False
5,coin|etype|cb|btc_pi|yd_arch,1605,False
5,coin|etype|cb|btc_pi|ob55,1695,False
5,coin|etype|cb|btc_pi|dtype,1251,False
5,coin|etype|cb|btc_pi|lean,1548,False
5,coin|etype|cb|btc_pi|scen_state,1832,False
5,coin|etype|cb|btc_pi|scen_failed,1467,False
5,coin|etype|cb|origin|tn,2898,False
5,coin|etype|cb|origin|dq,2709,False
5,coin|etype|cb|origin|sq,3150,False
5,coin|etype|cb|origin|vq,2968,False
5,coin|etype|cb|origin|rq,3100,False
5,coin|etype|cb|origin|kq,3339,False
5,coin|etype|cb|origin|uq,3410,False
5,coin|etype|cb|origin|yd_arch,3171,False
5,coin|etype|cb|origin|ob55,3144,False
5,coin|etype|cb|origin|dtype,2884,False
5,coin|etype|cb|origin|lean,2876,False
5,coin|etype|cb|origin|scen_state,2753,False
5,coin|etype|cb|origin|scen_failed,2894,False
5,coin|etype|cb|tn|dq,2691,False
5,coin|etype|cb|tn|sq,3009,False
5,coin|etype|cb|tn|vq,3157,False
5,coin|etype|cb|tn|rq,3043,False
5,coin|etype|cb|tn|kq,3239,False
5,coin|etype|cb|tn|uq,3325,False
5,coin|etype|cb|tn|yd_arch,2724,False
5,coin|etype|cb|tn|ob55,2858,False
5,coin|etype|cb|tn|dtype,2091,False
5,coin|etype|cb|tn|lean,2408,False
5,coin|etype|cb|tn|scen_state,2485,False
5,coin|etype|cb|tn|scen_failed,2404,False
5,coin|etype|cb|dq|sq,2997,False
